CancerType,IncidenceMortality,year,sex,NumberOfCases,AgeAdjustedRate,IncidenceMortality_Sex
All sites C00-C96 excl C44,Mortality,2008,Female,223,136.1,Mortality Female
All sites C00-C96 excl C44,Mortality,2014,Female,219,110,Mortality Female
"Lung C33, C34",Incidence,1999,Person,65,28.4,Incidence Person
Breast C50,Mortality,2009,Female,38,22.8,Mortality Female
All sites C00-C96 excl C44,Incidence,2004,Person,1307,466.9,Incidence Person
"Lung C33, C34",Mortality,2006,Male,45,38.7,Mortality Male
All sites C00-C96 excl C44,Incidence,1987,Female,290,328.6,Incidence Female
All sites C00-C96 excl C44,Mortality,1996,Female,154,140.1,Mortality Female
"Lung C33, C34",Mortality,1992,Person,56,34.6,Mortality Person
"Lung C33, C34",Mortality,2000,Person,64,26.8,Mortality Person
Melanoma of skin C43,Incidence,2009,Male,78,51.7,Incidence Male
Prostate C61,Incidence,2003,Male,175,145.6,Incidence Male
Bowel C18-C20,Incidence,1998,Person,130,57.6,Incidence Person
"Lung C33, C34",Incidence,1995,Male,34,44.8,Incidence Male
Bowel C18-C20,Incidence,1999,Male,73,73.4,Incidence Male
All sites C00-C96 excl C44,Incidence,1995,Person,943,456.4,Incidence Person
Breast C50,Mortality,2010,Female,43,23.7,Mortality Female
Breast C50,Incidence,1991,Female,88,85.3,Incidence Female
"Lung C33, C34",Mortality,2006,Person,82,30,Mortality Person
"Lung C33, C34",Incidence,2004,Person,77,28.9,Incidence Person
Melanoma of skin C43,Incidence,2009,Female,36,20.1,Incidence Female
Melanoma of skin C43,Incidence,1994,Male,41,41.6,Incidence Male
"Lung C33, C34",Incidence,1990,Female,20,23.1,Incidence Female
All sites C00-C96 excl C44,Incidence,2015,Female,763,379.5,Incidence Female
"Lung C33, C34",Mortality,1993,Male,36,44,Mortality Male
Prostate C61,Mortality,2006,Male,29,25.5,Mortality Male
All sites C00-C96 excl C44,Incidence,2003,Person,1221,443.9,Incidence Person
All sites C00-C96 excl C44,Incidence,2011,Male,820,521.2,Incidence Male
