Year,Region,Category,Indicator,Characteristic,Age,Sex,Result,Unit,Significants (g),Comments
2010,NSW,Alcohol,Drinking status,Daily,14+,Males,9.4,Per cent,,
2010,NSW,Alcohol,Drinking status,Weekly,14+,Males,44,Per cent,,
2010,NSW,Alcohol,Drinking status,Less than weekly,14+,Males,28.5,Per cent,,
2010,NSW,Alcohol,Drinking status,Ex-drinker,14+,Males,6.1,Per cent,,
2010,NSW,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,11.9,Per cent,,
2010,NSW,Alcohol,Drinking status,Daily,14+,Females,5.4,Per cent,,
2010,NSW,Alcohol,Drinking status,Weekly,14+,Females,32.2,Per cent,,
2010,NSW,Alcohol,Drinking status,Less than weekly,14+,Females,37,Per cent,,
2010,NSW,Alcohol,Drinking status,Ex-drinker,14+,Females,8.7,Per cent,,
2010,NSW,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,16.7,Per cent,,
2010,NSW,Alcohol,Drinking status,Daily,14+,Persons,7.4,Per cent,,
2010,NSW,Alcohol,Drinking status,Weekly,14+,Persons,38,Per cent,,
2010,NSW,Alcohol,Drinking status,Less than weekly,14+,Persons,32.8,Per cent,,
2010,NSW,Alcohol,Drinking status,Ex-drinker,14+,Persons,7.4,Per cent,,
2010,NSW,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,14.4,Per cent,,
2013,NSW,Alcohol,Drinking status,Daily,14+,Males,8.5,Per cent,,
2013,NSW,Alcohol,Drinking status,Weekly,14+,Males,40.4,Per cent,,
2013,NSW,Alcohol,Drinking status,Less than weekly,14+,Males,30.4,Per cent,,
2013,NSW,Alcohol,Drinking status,Ex-drinker,14+,Males,7.4,Per cent,,
2013,NSW,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,13.2,Per cent,,
2013,NSW,Alcohol,Drinking status,Daily,14+,Females,4.5,Per cent,,
2013,NSW,Alcohol,Drinking status,Weekly,14+,Females,30.6,Per cent,,
2013,NSW,Alcohol,Drinking status,Less than weekly,14+,Females,37.3,Per cent,,
2013,NSW,Alcohol,Drinking status,Ex-drinker,14+,Females,9.1,Per cent,,
2013,NSW,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,18.4,Per cent,,
2013,NSW,Alcohol,Drinking status,Daily,14+,Persons,6.5,Per cent,,
2013,NSW,Alcohol,Drinking status,Weekly,14+,Persons,35.5,Per cent,,
2013,NSW,Alcohol,Drinking status,Less than weekly,14+,Persons,33.9,Per cent,,
2013,NSW,Alcohol,Drinking status,Ex-drinker,14+,Persons,8.3,Per cent,,
2013,NSW,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,15.9,Per cent,,
2016,NSW,Alcohol,Drinking status,Daily,14+,Males,7.7,Per cent,,
2016,NSW,Alcohol,Drinking status,Weekly,14+,Males,40.1,Per cent,,
2016,NSW,Alcohol,Drinking status,Less than weekly,14+,Males,31.5,Per cent,,
2016,NSW,Alcohol,Drinking status,Ex-drinker,14+,Males,6.5,Per cent,,
2016,NSW,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,14.3,Per cent,,
2016,NSW,Alcohol,Drinking status,Daily,14+,Females,4.9,Per cent,,
2016,NSW,Alcohol,Drinking status,Weekly,14+,Females,31.5,Per cent,,
2016,NSW,Alcohol,Drinking status,Less than weekly,14+,Females,37.2,Per cent,,
2016,NSW,Alcohol,Drinking status,Ex-drinker,14+,Females,8.6,Per cent,,
2016,NSW,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,17.7,Per cent,,
2016,NSW,Alcohol,Drinking status,Daily,14+,Persons,6.3,Per cent,,
2016,NSW,Alcohol,Drinking status,Weekly,14+,Persons,35.7,Per cent,,
2016,NSW,Alcohol,Drinking status,Less than weekly,14+,Persons,34.4,Per cent,,
2016,NSW,Alcohol,Drinking status,Ex-drinker,14+,Persons,7.6,Per cent,,
2016,NSW,Alcohol,Drinking status,Never a full serve of alcohol,14+,Persons,16,Per cent,,
2010,VIC,Alcohol,Drinking status,Daily,14+,Males,8.7,Per cent,,
2010,VIC,Alcohol,Drinking status,Weekly,14+,Males,43.3,Per cent,,
2010,VIC,Alcohol,Drinking status,Less than weekly,14+,Males,29.4,Per cent,,
2010,VIC,Alcohol,Drinking status,Ex-drinker,14+,Males,7.2,Per cent,,
2010,VIC,Alcohol,Drinking status,Never a full serve of alcohol,14+,Males,11.4,Per cent,,
2010,VIC,Alcohol,Drinking status,Daily,14+,Females,4.5,Per cent,,
2010,VIC,Alcohol,Drinking status,Weekly,14+,Females,32.5,Per cent,,
2010,VIC,Alcohol,Drinking status,Less than weekly,14+,Females,39.8,Per cent,,
2010,VIC,Alcohol,Drinking status,Ex-drinker,14+,Females,7.5,Per cent,,
2010,VIC,Alcohol,Drinking status,Never a full serve of alcohol,14+,Females,15.6,Per cent,,
